city,latitude,longitude,max_temperature,humidity,cloudiness,wind_speed
Kapaa,22.08,-159.32,23,78,75,2.6
Osypenko,46.91,36.83,7.78,100,0,3.13
Imbituba,-28.24,-48.67,17,63,1,1
Busselton,-33.65,115.33,25.56,36,39,5.58
Bac Lieu,9.29,105.72,31.12,58,37,5.48
Chui,-33.7,-53.46,14.2,87,2,1.61
Albany,42.6,-73.97,0,68,1,1.12
Khatanga,71.97,102.5,-0.82,93,100,13.17
Przasnysz,53.02,20.88,15,30,96,3.6
Khāsh,28.22,61.22,27.3,11,100,5.69
Barrow,71.29,-156.79,-3,92,90,7.2
Upernavik,72.79,-56.15,-4.73,86,100,3.43
Moranbah,-22,148.05,25.37,29,0,4.75
Carnarvon,-24.87,113.63,30,70,31,7.7
Punta Arenas,-53.15,-70.92,5,93,20,6.2
Severo-Kuril'sk,50.68,156.12,-1.71,93,70,1.99
Mahébourg,-20.41,57.7,29,66,40,8.7
Cidreira,-30.18,-50.21,16.77,75,13,1.74
Hamilton,39.18,-84.53,10,93,90,1.5
Alice Springs,-23.7,133.88,31,14,96,3.6
Fairbanks,64.84,-147.72,1.67,73,40,1.07
Hithadhoo,-0.6,73.08,29.65,67,40,4.06
Dillon,34.42,-79.37,11,100,1,2.52
Belaya Gora,68.53,146.42,-2.78,97,90,2.89
Yellowknife,62.46,-114.35,-15,65,5,3.6
Dikson,73.51,80.55,-6.16,96,100,6.67
Nyzhnya Duvanka,49.58,38.17,7.53,51,0,7.34
Rikitea,-23.12,-134.97,25.69,81,45,5.22
Kuching,1.55,110.33,32,66,40,3.1
Hobart,-42.88,147.33,15,58,75,7.7
Port Alfred,-33.59,26.89,24.44,52,96,3.13
Prieska,-29.66,22.75,23.16,20,24,6.31
Bud,39.45,-86.18,11.11,66,90,4.6
Puerto Ayora,-0.74,-90.35,25.56,90,13,0.45
Bluff,-46.6,168.33,16.11,80,98,2.24
Geraldton,-28.77,114.6,27,74,40,6.7
Malanje,-9.54,16.34,21.87,65,99,1.57
Tuktoyaktuk,69.45,-133.04,-12.2,94,87,5.27
Chokurdakh,70.63,147.92,-9.55,96,40,4.8
Rawson,-43.3,-65.1,11.75,41,0,4.12
Ushuaia,-54.8,-68.3,5,85,75,4.1
Castlemaine,-37.07,144.22,15.56,42,100,3.42
Nizhnevartovsk,60.93,76.55,11,97,100,3
Samarai,-10.62,150.67,26.31,69,28,2.8
Jamestown,42.1,-79.24,8.33,64,1,3.1
Pueblo,38.25,-104.61,14,22,1,11.8
Koutiala,12.39,-5.46,32.03,35,58,2.98
Bredasdorp,-34.53,20.04,21,49,1,11.8
Vaini,-21.2,-175.2,23,83,20,2.1
Codrington,-38.27,141.97,12.27,71,100,3.24
The Valley,18.22,-63.06,27,78,40,3.1
Kirakira,-10.45,161.92,27.76,79,99,2.42
Lázaro Cárdenas,17.96,-102.2,22.24,87,22,1.95
Sena Madureira,-9.07,-68.66,22.37,88,90,0.46
Thunder Bay,48.4,-89.32,-0.56,68,40,2.1
Tosya,41.02,34.04,10.29,29,0,2.15
